"","Rho","N","P","P0","Rsq","Sure Screening Probability (Air-HOLP)","Sure Screening Probability (Ridge-HOLP)","Sure Screening Probability (SIS)","r"
"74",0.3,500,250,6,0.25,0.87,0.81,0.842,71.358580972588
"75",0.6,500,250,6,0.25,0.804,0.756,0.806,62.1275104565974
"76",0.9,500,250,6,0.25,0.658,0.64,0.826,34.4958799217492
"77",0,1000,250,6,0.25,0.986,0.984,0.99,19.40766442475
"78",0.3,1000,250,6,0.25,0.986,0.984,0.968,22.7151653702691
"79",0.6,1000,250,6,0.25,0.98,0.98,0.946,18.941973030825
"80",0.9,1000,250,6,0.25,0.954,0.954,0.95,6.27970841902112
"81",0,125,1250,6,0.25,0.022,0.018,0.014,520.347396523528
"82",0.3,125,1250,6,0.25,0.008,0.006,0.002,500.939448545168
"83",0.6,125,1250,6,0.25,0.006,0.006,0.004,480.839722067397
"84",0.9,125,1250,6,0.25,0.006,0.006,0.004,441.044896789151
"85",0,250,1250,6,0.25,0.268,0.208,0.256,583.957089292421
"86",0.3,250,1250,6,0.25,0.22,0.186,0.178,571.355470814222
"87",0.6,250,1250,6,0.25,0.166,0.136,0.156,548.988028596306
"88",0.9,250,1250,6,0.25,0.08,0.062,0.106,514.785308136808
"89",0,500,1250,6,0.25,0.776,0.636,0.788,633.274568585216
"90",0.3,500,1250,6,0.25,0.666,0.54,0.58,622.284058597899
"91",0.6,500,1250,6,0.25,0.502,0.394,0.318,600.150870645828
"92",0.9,500,1250,6,0.25,0.24,0.19,0.28,557.486390538318
"93",0,1000,1250,6,0.25,0.936,0.672,0.952,630.019751980884
"94",0.3,1000,1250,6,0.25,0.926,0.606,0.778,614.780295715331
"95",0.6,1000,1250,6,0.25,0.832,0.508,0.476,578.433445343287
"96",0.9,1000,1250,6,0.25,0.392,0.33,0.304,547.948793558131
"97",0,125,5000,6,0.25,0,0,0,1727.41541574217
"98",0.3,125,5000,6,0.25,0,0,0,1679.46073767766
"99",0.6,125,5000,6,0.25,0,0,0,1584.13386492158
"100",0.9,125,5000,6,0.25,0,0,0,1498.87604679571
"101",0,250,5000,6,0.25,0.138,0.128,0.126,2072.5672680099
"102",0.3,250,5000,6,0.25,0.088,0.08,0.064,2006.45736152025
"103",0.6,250,5000,6,0.25,0.042,0.042,0.046,1950.05085257617
"104",0.9,250,5000,6,0.25,0.038,0.034,0.036,1829.04217279357
"105",0,500,5000,6,0.25,0.598,0.57,0.614,2372.59847238001
"106",0.3,500,5000,6,0.25,0.466,0.452,0.372,2342.15466030318
"107",0.6,500,5000,6,0.25,0.288,0.28,0.232,2247.26201784994
"108",0.9,500,5000,6,0.25,0.152,0.138,0.17,2113.22373721346
"109",0,1000,5000,6,0.25,0.858,0.838,0.878,2711.02743033013
"110",0.3,1000,5000,6,0.25,0.85,0.812,0.656,2566.74286850932
"111",0.6,1000,5000,6,0.25,0.654,0.62,0.422,2523.14130405774
"112",0.9,1000,5000,6,0.25,0.242,0.23,0.272,2432.0981006816
"113",0,125,15000,6,0.25,0,0,0,4441.84046867285
"114",0.3,125,15000,6,0.25,0,0,0,4286.25787465277
"115",0.6,125,15000,6,0.25,0,0,0,4092.32948494514
"116",0.9,125,15000,6,0.25,0,0,0,3769.81783878684
"117",0,250,15000,6,0.25,0.024,0.022,0.024,5405.83659156521
"118",0.3,250,15000,6,0.25,0.016,0.014,0.02,5281.17184244649
"119",0.6,250,15000,6,0.25,0.014,0.014,0.014,5078.86754236703
"120",0.9,250,15000,6,0.25,0.016,0.016,0.016,4705.65681190549
"121",0,500,15000,6,0.25,0.444,0.42,0.45,6349.76210766373
"122",0.3,500,15000,6,0.25,0.334,0.326,0.242,6219.60613921308
"123",0.6,500,15000,6,0.25,0.162,0.16,0.156,5987.14315835652
"124",0.9,500,15000,6,0.25,0.134,0.13,0.136,5628.48004025388
"125",0,1000,15000,6,0.25,0.828,0.812,0.828,7301.1488922319
"126",0.3,1000,15000,6,0.25,0.754,0.746,0.53,7034.14930218604
"127",0.6,1000,15000,6,0.25,0.514,0.506,0.332,6937.04191923135
"128",0.9,1000,15000,6,0.25,0.21,0.206,0.236,6592.81744540814
"129",0,125,250,9,0.25,0.004,0.002,0.002,108.519015616244
"130",0.3,125,250,9,0.25,0.002,0,0.004,109.737790950652
"131",0.6,125,250,9,0.25,0,0,0,102.861955994317
"132",0.9,125,250,9,0.25,0,0,0.004,94.752958218567
"133",0,250,250,9,0.25,0.228,0.038,0.278,103.274041094489
"134",0.3,250,250,9,0.25,0.18,0.022,0.16,100.77883221567
"135",0.6,250,250,9,0.25,0.142,0.022,0.112,92.7124902386241
"136",0.9,250,250,9,0.25,0.04,0.018,0.048,85.4465104485239
"137",0,500,250,9,0.25,0.726,0.62,0.764,71.7269761960855
"138",0.3,500,250,9,0.25,0.652,0.528,0.604,74.2401732794242
"139",0.6,500,250,9,0.25,0.612,0.504,0.512,65.088957503413
"140",0.9,500,250,9,0.25,0.366,0.358,0.51,36.4768799223654
"141",0,1000,250,9,0.25,0.956,0.956,0.97,19.7331433529643
"142",0.3,1000,250,9,0.25,0.954,0.952,0.918,23.1022152486261
"143",0.6,1000,250,9,0.25,0.92,0.918,0.866,19.4824324578788
"144",0.9,1000,250,9,0.25,0.82,0.822,0.866,6.41826399784468
"145",0,125,1250,9,0.25,0,0,0,529.824239033149
"146",0.3,125,1250,9,0.25,0,0,0,514.676114077971
"147",0.6,125,1250,9,0.25,0,0,0,498.087183002779
"148",0.9,125,1250,9,0.25,0,0,0,455.206049045063
"149",0,250,1250,9,0.25,0.03,0.03,0.042,593.171871151141
"150",0.3,250,1250,9,0.25,0.026,0.014,0.02,601.319211767021
"151",0.6,250,1250,9,0.25,0.01,0.01,0.008,575.805481941655
"152",0.9,250,1250,9,0.25,0.01,0.006,0.006,529.238665224768
"153",0,500,1250,9,0.25,0.44,0.302,0.434,637.387980921374
"154",0.3,500,1250,9,0.25,0.308,0.186,0.214,641.33532273941
"155",0.6,500,1250,9,0.25,0.164,0.112,0.09,612.416858483439
"156",0.9,500,1250,9,0.25,0.068,0.034,0.072,566.060058289583
"157",0,1000,1250,9,0.25,0.814,0.392,0.838,622.699814870418
"158",0.3,1000,1250,9,0.25,0.76,0.338,0.568,609.902661690309
"159",0.6,1000,1250,9,0.25,0.596,0.248,0.252,593.494103506048
"160",0.9,1000,1250,9,0.25,0.188,0.122,0.152,559.877904390895
