"","Rho","N","P","P0","Rsq","Sure Screening Probability (Air-HOLP)","Sure Screening Probability (Ridge-HOLP)","Sure Screening Probability (SIS)","r"
"382",0.3,1000,15000,3,0.5,1,1,0.958,4971.88870695923
"383",0.6,1000,15000,3,0.5,0.974,0.972,0.79,4970.89151891458
"384",0.9,1000,15000,3,0.5,0.556,0.556,0.662,4865.41100221393
"385",0,125,250,6,0.5,0.602,0.504,0.516,76.8941713464567
"386",0.3,125,250,6,0.5,0.508,0.394,0.38,77.8586927177557
"387",0.6,125,250,6,0.5,0.35,0.272,0.252,76.1436748556755
"388",0.9,125,250,6,0.5,0.188,0.154,0.164,73.4014097367367
"389",0,250,250,6,0.5,0.942,0.766,0.954,68.6064624444461
"390",0.3,250,250,6,0.5,0.922,0.732,0.824,68.3218773555484
"391",0.6,250,250,6,0.5,0.822,0.654,0.526,64.5999077874671
"392",0.9,250,250,6,0.5,0.474,0.492,0.344,58.8343923189062
"393",0,500,250,6,0.5,0.994,0.99,0.99,45.1609658683601
"394",0.3,500,250,6,0.5,0.996,0.982,0.954,46.951646273439
"395",0.6,500,250,6,0.5,0.966,0.954,0.892,42.1520615282701
"396",0.9,500,250,6,0.5,0.866,0.888,0.92,24.2714230753229
"397",0,1000,250,6,0.5,1,1,1,10.3522995880955
"398",0.3,1000,250,6,0.5,1,1,0.986,12.6893447655024
"399",0.6,1000,250,6,0.5,0.998,0.998,0.972,11.3648965391367
"400",0.9,1000,250,6,0.5,0.968,0.966,0.958,5.05957974675654
"401",0,125,1250,6,0.5,0.202,0.186,0.188,407.725525059541
"402",0.3,125,1250,6,0.5,0.128,0.12,0.118,392.593025365718
"403",0.6,125,1250,6,0.5,0.096,0.096,0.088,384.733121768459
"404",0.9,125,1250,6,0.5,0.07,0.066,0.052,367.314901690036
"405",0,250,1250,6,0.5,0.748,0.71,0.742,412.285403034359
"406",0.3,250,1250,6,0.5,0.67,0.61,0.514,411.161957264234
"407",0.6,250,1250,6,0.5,0.476,0.458,0.338,398.558314311134
"408",0.9,250,1250,6,0.5,0.226,0.214,0.28,391.67778432567
"409",0,500,1250,6,0.5,0.964,0.936,0.978,431.152864204218
"410",0.3,500,1250,6,0.5,0.968,0.908,0.792,433.547877235299
"411",0.6,500,1250,6,0.5,0.844,0.776,0.444,424.97071738922
"412",0.9,500,1250,6,0.5,0.314,0.342,0.336,408.837598144532
"413",0,1000,1250,6,0.5,0.998,0.946,1,414.491993476843
"414",0.3,1000,1250,6,0.5,0.99,0.944,0.838,409.984335552733
"415",0.6,1000,1250,6,0.5,0.98,0.876,0.522,397.392250504908
"416",0.9,1000,1250,6,0.5,0.64,0.642,0.332,382.269937992269
"417",0,125,5000,6,0.5,0.04,0.036,0.038,1457.83354110711
"418",0.3,125,5000,6,0.5,0.034,0.036,0.024,1413.97235576724
"419",0.6,125,5000,6,0.5,0.01,0.01,0.006,1400.84341173858
"420",0.9,125,5000,6,0.5,0.016,0.016,0.014,1290.33486905287
"421",0,250,5000,6,0.5,0.558,0.552,0.544,1544.81465442609
"422",0.3,250,5000,6,0.5,0.448,0.44,0.33,1516.5304264239
"423",0.6,250,5000,6,0.5,0.232,0.234,0.202,1519.12687080315
"424",0.9,250,5000,6,0.5,0.16,0.16,0.15,1450.16498467977
"425",0,500,5000,6,0.5,0.906,0.898,0.904,1640.71330562225
"426",0.3,500,5000,6,0.5,0.842,0.834,0.652,1678.13155511198
"427",0.6,500,5000,6,0.5,0.628,0.62,0.384,1623.2594090786
"428",0.9,500,5000,6,0.5,0.224,0.226,0.26,1589.77805756614
"429",0,1000,5000,6,0.5,0.99,0.984,0.988,1842.73818826315
"430",0.3,1000,5000,6,0.5,0.976,0.968,0.79,1749.11465564965
"431",0.6,1000,5000,6,0.5,0.882,0.882,0.502,1750.17073160112
"432",0.9,1000,5000,6,0.5,0.294,0.294,0.314,1777.36674338698
"433",0,125,15000,6,0.5,0.018,0.018,0.016,3948.2674955419
"434",0.3,125,15000,6,0.5,0.01,0.01,0.012,3827.63868728958
"435",0.6,125,15000,6,0.5,0.008,0.008,0.01,3732.5369666674
"436",0.9,125,15000,6,0.5,0.002,0.002,0.004,3420.43787381553
"437",0,250,15000,6,0.5,0.354,0.354,0.35,4178.18493978085
"438",0.3,250,15000,6,0.5,0.268,0.268,0.214,4122.66528319624
"439",0.6,250,15000,6,0.5,0.114,0.11,0.102,4138.36432368556
"440",0.9,250,15000,6,0.5,0.092,0.092,0.1,3846.5947740844
"441",0,500,15000,6,0.5,0.874,0.872,0.86,4623.45219975931
"442",0.3,500,15000,6,0.5,0.796,0.79,0.57,4511.50058819567
"443",0.6,500,15000,6,0.5,0.454,0.454,0.316,4492.1009925232
"444",0.9,500,15000,6,0.5,0.244,0.242,0.258,4371.40468168359
"445",0,1000,15000,6,0.5,0.976,0.972,0.978,5043.6617806597
"446",0.3,1000,15000,6,0.5,0.956,0.952,0.726,4912.36524538768
"447",0.6,1000,15000,6,0.5,0.772,0.774,0.436,4967.14513196218
"448",0.9,1000,15000,6,0.5,0.246,0.246,0.286,4948.90543593653
"449",0,125,250,9,0.5,0.15,0.092,0.096,81.4538780415037
"450",0.3,125,250,9,0.5,0.096,0.044,0.034,85.3530401901433
"451",0.6,125,250,9,0.5,0.07,0.036,0.016,80.484836042249
"452",0.9,125,250,9,0.5,0.024,0.014,0.024,77.2727739909466
"453",0,250,250,9,0.5,0.746,0.462,0.686,71.9613391519693
"454",0.3,250,250,9,0.5,0.708,0.38,0.466,71.2971778389148
"455",0.6,250,250,9,0.5,0.516,0.296,0.262,67.4581596502586
"456",0.9,250,250,9,0.5,0.212,0.172,0.126,63.4150842565272
"457",0,500,250,9,0.5,0.968,0.952,0.964,46.1614681215793
"458",0.3,500,250,9,0.5,0.946,0.92,0.816,49.2431539314549
"459",0.6,500,250,9,0.5,0.898,0.87,0.742,44.8736705188964
"460",0.9,500,250,9,0.5,0.7,0.71,0.768,25.9515970708737
"461",0,1000,250,9,0.5,0.998,0.998,1,10.5545969296047
"462",0.3,1000,250,9,0.5,0.996,0.996,0.962,12.7512055716678
"463",0.6,1000,250,9,0.5,0.992,0.992,0.928,11.7874603623634
"464",0.9,1000,250,9,0.5,0.942,0.94,0.946,5.17262250988763
"465",0,125,1250,9,0.5,0.006,0.004,0.006,430.434725340718
"466",0.3,125,1250,9,0.5,0,0,0,424.739804478105
"467",0.6,125,1250,9,0.5,0,0,0,424.072593219559
"468",0.9,125,1250,9,0.5,0,0,0,395.201857385158
"469",0,250,1250,9,0.5,0.346,0.314,0.308,419.646848463146
"470",0.3,250,1250,9,0.5,0.286,0.256,0.14,443.052111606892
"471",0.6,250,1250,9,0.5,0.11,0.104,0.072,442.389794681487
"472",0.9,250,1250,9,0.5,0.038,0.036,0.032,412.109228858937
"473",0,500,1250,9,0.5,0.864,0.794,0.836,427.033379447238
"474",0.3,500,1250,9,0.5,0.732,0.656,0.448,446.946290716516
"475",0.6,500,1250,9,0.5,0.542,0.504,0.212,435.589916869712
"476",0.9,500,1250,9,0.5,0.126,0.132,0.142,416.255460748387
"477",0,1000,1250,9,0.5,0.98,0.81,0.978,403.841407066657
"478",0.3,1000,1250,9,0.5,0.954,0.776,0.708,406.312594272503
"479",0.6,1000,1250,9,0.5,0.874,0.652,0.33,414.047040637116
"480",0.9,1000,1250,9,0.5,0.384,0.384,0.188,396.977456901206
"481",0,125,5000,9,0.5,0,0,0,1542.45167604898
"482",0.3,125,5000,9,0.5,0,0,0,1534.581080792
"483",0.6,125,5000,9,0.5,0,0,0,1503.83377367865
"484",0.9,125,5000,9,0.5,0,0,0,1365.51417400661
"485",0,250,5000,9,0.5,0.122,0.114,0.122,1628.61484425906
"486",0.3,250,5000,9,0.5,0.09,0.084,0.056,1626.34676403997
"487",0.6,250,5000,9,0.5,0.026,0.028,0.028,1620.98625260266
"488",0.9,250,5000,9,0.5,0.018,0.018,0.012,1499.9450781827
"489",0,500,5000,9,0.5,0.654,0.64,0.652,1673.8313531324
"490",0.3,500,5000,9,0.5,0.548,0.524,0.28,1725.26999546181
"491",0.6,500,5000,9,0.5,0.244,0.25,0.132,1732.54649845968
"492",0.9,500,5000,9,0.5,0.082,0.078,0.072,1697.02763441986
"493",0,1000,5000,9,0.5,0.934,0.926,0.944,1826.34730094747
"494",0.3,1000,5000,9,0.5,0.868,0.85,0.522,1858.03622931039
"495",0.6,1000,5000,9,0.5,0.698,0.676,0.278,1810.7491968457
"496",0.9,1000,5000,9,0.5,0.138,0.14,0.15,1796.31512564343
"497",0,125,15000,9,0.5,0,0,0,4182.74487091676
"498",0.3,125,15000,9,0.5,0,0,0,4088.37508685754
"499",0.6,125,15000,9,0.5,0,0,0,3901.74514314878
"500",0.9,125,15000,9,0.5,0,0,0,3660.8463308761
"501",0,250,15000,9,0.5,0.04,0.042,0.038,4465.16219646249
"502",0.3,250,15000,9,0.5,0.024,0.026,0.016,4504.20801489752
"503",0.6,250,15000,9,0.5,0.01,0.01,0.006,4367.2057489333
"504",0.9,250,15000,9,0.5,0.008,0.01,0.012,4051.05666730865
"505",0,500,15000,9,0.5,0.472,0.46,0.478,4723.0661583601
"506",0.3,500,15000,9,0.5,0.368,0.36,0.2,4720.92581253985
"507",0.6,500,15000,9,0.5,0.156,0.158,0.096,4759.02468937484
"508",0.9,500,15000,9,0.5,0.06,0.058,0.048,4583.73241555305
"509",0,1000,15000,9,0.5,0.892,0.892,0.89,4963.79566548343
"510",0.3,1000,15000,9,0.5,0.764,0.75,0.42,5237.26350833545
"511",0.6,1000,15000,9,0.5,0.442,0.45,0.2,5158.91604642495
"512",0.9,1000,15000,9,0.5,0.118,0.116,0.132,5065.85730921607
"513",0,125,250,12,0.5,0.024,0.014,0.004,87.7083710076994
"514",0.3,125,250,12,0.5,0.01,0.004,0,90.837493101668
"515",0.6,125,250,12,0.5,0,0,0,88.6510895445361
"516",0.9,125,250,12,0.5,0,0,0,82.1519018325373
"517",0,250,250,12,0.5,0.512,0.212,0.398,72.5447298114478
"518",0.3,250,250,12,0.5,0.414,0.172,0.192,72.7201229525684
"519",0.6,250,250,12,0.5,0.258,0.104,0.064,71.9005930243753
"520",0.9,250,250,12,0.5,0.1,0.058,0.022,66.8072669498592
"521",0,500,250,12,0.5,0.908,0.868,0.902,47.0811766321905
"522",0.3,500,250,12,0.5,0.854,0.81,0.656,49.5968310810168
"523",0.6,500,250,12,0.5,0.79,0.74,0.56,45.9475447956118
"524",0.9,500,250,12,0.5,0.52,0.548,0.55,27.5028639388007
"525",0,1000,250,12,0.5,0.994,0.992,0.988,11.4418827176672
"526",0.3,1000,250,12,0.5,0.978,0.978,0.92,14.1201496543795
"527",0.6,1000,250,12,0.5,0.982,0.98,0.87,11.9862098443942
"528",0.9,1000,250,12,0.5,0.906,0.91,0.916,5.4000269566004
"529",0,125,1250,12,0.5,0,0,0,459.785194010318
"530",0.3,125,1250,12,0.5,0,0,0,465.183571140168
"531",0.6,125,1250,12,0.5,0,0,0,442.941146846975
"532",0.9,125,1250,12,0.5,0,0,0,409.42389262232
"533",0,250,1250,12,0.5,0.08,0.066,0.068,455.196680915446
"534",0.3,250,1250,12,0.5,0.056,0.048,0.024,456.735820574738
"535",0.6,250,1250,12,0.5,0.016,0.018,0.004,457.228133198781
"536",0.9,250,1250,12,0.5,0.008,0.004,0.012,439.215210217903
"537",0,500,1250,12,0.5,0.626,0.492,0.574,443.720163353687
"538",0.3,500,1250,12,0.5,0.566,0.436,0.252,451.991723993773
"539",0.6,500,1250,12,0.5,0.354,0.302,0.076,446.789955065972
"540",0.9,500,1250,12,0.5,0.038,0.038,0.042,454.717214498608
"541",0,1000,1250,12,0.5,0.916,0.656,0.926,407.125155764012
"542",0.3,1000,1250,12,0.5,0.87,0.55,0.478,434.615055885362
"543",0.6,1000,1250,12,0.5,0.746,0.456,0.194,427.052238490099
"544",0.9,1000,1250,12,0.5,0.24,0.208,0.092,410.141074025406
"545",0,125,5000,12,0.5,0,0,0,1631.09853159639
"546",0.3,125,5000,12,0.5,0,0,0,1614.21529789085
"547",0.6,125,5000,12,0.5,0,0,0,1554.85179844305
"548",0.9,125,5000,12,0.5,0,0,0,1440.44008845145
"549",0,250,5000,12,0.5,0.01,0.01,0.006,1680.1069828865
"550",0.3,250,5000,12,0.5,0.002,0.002,0.004,1736.14230089056
"551",0.6,250,5000,12,0.5,0.004,0.006,0,1680.54440038516
"552",0.9,250,5000,12,0.5,0.004,0.004,0.004,1613.43763808116
"553",0,500,5000,12,0.5,0.338,0.324,0.32,1776.71412907133
"554",0.3,500,5000,12,0.5,0.258,0.248,0.086,1776.3339909698
"555",0.6,500,5000,12,0.5,0.076,0.064,0.024,1801.48061253117
"556",0.9,500,5000,12,0.5,0.018,0.02,0.016,1701.38450826002
"557",0,1000,5000,12,0.5,0.8,0.776,0.808,1830.32816962266
"558",0.3,1000,5000,12,0.5,0.732,0.708,0.326,1802.62989685418
"559",0.6,1000,5000,12,0.5,0.384,0.384,0.12,1916.02093796132
"560",0.9,1000,5000,12,0.5,0.072,0.066,0.074,1835.18235505755
"561",0,125,15000,12,0.5,0,0,0,4321.38485952232
"562",0.3,125,15000,12,0.5,0,0,0,4227.48486639151
"563",0.6,125,15000,12,0.5,0,0,0,3982.7253902793
"564",0.9,125,15000,12,0.5,0,0,0,3748.9806020202
"565",0,250,15000,12,0.5,0,0,0,4746.77080895339
"566",0.3,250,15000,12,0.5,0,0,0,4747.05730289015
"567",0.6,250,15000,12,0.5,0,0,0,4567.49222303203
"568",0.9,250,15000,12,0.5,0,0,0,4250.60083591177
"569",0,500,15000,12,0.5,0.19,0.192,0.184,4803.49308986305
"570",0.3,500,15000,12,0.5,0.112,0.116,0.042,4877.69270672423
"571",0.6,500,15000,12,0.5,0.022,0.02,0.012,4936.55321664343
"572",0.9,500,15000,12,0.5,0.018,0.016,0.022,4586.37701568978
"573",0,1000,15000,12,0.5,0.694,0.68,0.688,5120.70490593544
"574",0.3,1000,15000,12,0.5,0.55,0.546,0.206,5281.79084427981
"575",0.6,1000,15000,12,0.5,0.248,0.25,0.11,5188.18458444666
"576",0.9,1000,15000,12,0.5,0.056,0.056,0.06,5235.28130993089
"577",0,125,250,15,0.5,0,0,0,91.9472978766437
"578",0.3,125,250,15,0.5,0.002,0,0,95.8917885632412
"579",0.6,125,250,15,0.5,0,0,0,90.8043058096565
"580",0.9,125,250,15,0.5,0,0,0,84.9451338353158
"581",0,250,250,15,0.5,0.274,0.078,0.148,75.4289605992962
"582",0.3,250,250,15,0.5,0.2,0.046,0.042,77.7491794141868
"583",0.6,250,250,15,0.5,0.084,0.01,0.016,76.333487217506
"584",0.9,250,250,15,0.5,0.018,0.006,0.006,70.5065491389326
"585",0,500,250,15,0.5,0.824,0.76,0.736,48.5042173798931
"586",0.3,500,250,15,0.5,0.742,0.676,0.422,51.4568029053426
"587",0.6,500,250,15,0.5,0.606,0.554,0.332,48.3340446519085
"588",0.9,500,250,15,0.5,0.366,0.386,0.38,29.1303719081965
"589",0,1000,250,15,0.5,0.994,0.994,0.974,11.5598503943358
"590",0.3,1000,250,15,0.5,0.962,0.962,0.82,14.3812565458455
"591",0.6,1000,250,15,0.5,0.936,0.938,0.83,13.0657921454802
"592",0.9,1000,250,15,0.5,0.852,0.848,0.85,5.49854820120119
"593",0,125,1250,15,0.5,0,0,0,480.15374268186
"594",0.3,125,1250,15,0.5,0,0,0,477.399332673728
"595",0.6,125,1250,15,0.5,0,0,0,453.502933272961
"596",0.9,125,1250,15,0.5,0,0,0,428.374140176746
"597",0,250,1250,15,0.5,0.01,0.01,0.006,468.900533723368
"598",0.3,250,1250,15,0.5,0.008,0.01,0.004,485.832626190416
"599",0.6,250,1250,15,0.5,0.004,0.004,0,479.762537387482
"600",0.9,250,1250,15,0.5,0,0,0.002,459.536496080497
"601",0,500,1250,15,0.5,0.416,0.31,0.324,454.039727901921
"602",0.3,500,1250,15,0.5,0.292,0.212,0.11,470.85518519548
"603",0.6,500,1250,15,0.5,0.15,0.104,0.03,467.008789614154
"604",0.9,500,1250,15,0.5,0.016,0.012,0.01,460.949438504656
"605",0,1000,1250,15,0.5,0.87,0.494,0.8,421.385502163305
"606",0.3,1000,1250,15,0.5,0.808,0.414,0.328,426.73659743343
"607",0.6,1000,1250,15,0.5,0.638,0.29,0.112,422.997081085098
"608",0.9,1000,1250,15,0.5,0.128,0.122,0.024,426.55450578801
"609",0,125,5000,15,0.5,0,0,0,1676.98990552948
"610",0.3,125,5000,15,0.5,0,0,0,1652.76827655968
"611",0.6,125,5000,15,0.5,0,0,0,1584.18192845252
"612",0.9,125,5000,15,0.5,0,0,0,1470.07920094792
"613",0,250,5000,15,0.5,0,0,0,1792.67572581989
"614",0.3,250,5000,15,0.5,0,0,0,1792.42940538791
"615",0.6,250,5000,15,0.5,0,0,0,1796.31761842894
"616",0.9,250,5000,15,0.5,0,0,0,1656.27657025576
"617",0,500,5000,15,0.5,0.1,0.1,0.094,1795.62816579385
"618",0.3,500,5000,15,0.5,0.084,0.086,0.026,1817.42792183892
"619",0.6,500,5000,15,0.5,0.02,0.016,0.012,1903.42344451796
"620",0.9,500,5000,15,0.5,0.002,0,0.004,1810.16209462723
"621",0,1000,5000,15,0.5,0.676,0.632,0.62,1791.71303856912
"622",0.3,1000,5000,15,0.5,0.548,0.496,0.194,1894.14548331736
"623",0.6,1000,5000,15,0.5,0.216,0.226,0.052,1944.06568144071
"624",0.9,1000,5000,15,0.5,0.048,0.046,0.04,1894.07871361662
"625",0,125,15000,15,0.5,0,0,0,4381.04511050598
"626",0.3,125,15000,15,0.5,0,0,0,4237.81549452078
"627",0.6,125,15000,15,0.5,0,0,0,4081.67237077899
"628",0.9,125,15000,15,0.5,0,0,0,3796.09635588658
"629",0,250,15000,15,0.5,0,0,0,4917.48334777525
"630",0.3,250,15000,15,0.5,0,0,0,4919.84172526934
"631",0.6,250,15000,15,0.5,0,0,0,4788.95027893013
"632",0.9,250,15000,15,0.5,0,0,0,4474.8598885461
"633",0,500,15000,15,0.5,0.05,0.048,0.05,4890.49302780389
"634",0.3,500,15000,15,0.5,0.016,0.014,0.008,5093.68019521285
"635",0.6,500,15000,15,0.5,0.008,0.008,0.004,5177.45631835437
"636",0.9,500,15000,15,0.5,0,0,0.002,4924.05217350004
"637",0,1000,15000,15,0.5,0.462,0.454,0.45,5145.57036663916
"638",0.3,1000,15000,15,0.5,0.306,0.294,0.12,5355.18682035779
"639",0.6,1000,15000,15,0.5,0.08,0.086,0.022,5515.67702614374
"640",0.9,1000,15000,15,0.5,0.032,0.03,0.034,5374.78251048343
"641",0,125,250,3,0.75,0.998,0.996,1,41.5182876921125
"642",0.3,125,250,3,0.75,1,0.994,0.974,41.3425975583068
"643",0.6,125,250,3,0.75,0.968,0.966,0.852,41.9991551071194
"644",0.9,125,250,3,0.75,0.628,0.652,0.644,86.4342304505692
"645",0,250,250,3,0.75,1,1,1,38.0788904145557
"646",0.3,250,250,3,0.75,1,0.998,0.996,37.891132910777
"647",0.6,250,250,3,0.75,0.998,0.992,0.914,35.3955625469602
"648",0.9,250,250,3,0.75,0.958,0.964,0.748,32.6754106518968
"649",0,500,250,3,0.75,1,1,1,23.3968134613401
"650",0.3,500,250,3,0.75,1,1,0.996,24.2547780040454
"651",0.6,500,250,3,0.75,1,1,0.988,22.2737489770561
"652",0.9,500,250,3,0.75,0.998,0.998,0.976,13.4368043989612
"653",0,1000,250,3,0.75,1,1,1,4.63227989923049
"654",0.3,1000,250,3,0.75,1,1,1,5.47845175455905
"655",0.6,1000,250,3,0.75,1,1,0.988,5.25560499498384
"656",0.9,1000,250,3,0.75,1,1,0.994,3.55165056600713
"657",0,125,1250,3,0.75,0.98,0.976,0.98,211.805848894796
"658",0.3,125,1250,3,0.75,0.966,0.962,0.946,205.161303492396
"659",0.6,125,1250,3,0.75,0.814,0.82,0.758,212.333472686154
"660",0.9,125,1250,3,0.75,0.478,0.478,0.548,221.957818825792
"661",0,250,1250,3,0.75,1,1,0.998,223.100422151351
"662",0.3,250,1250,3,0.75,0.998,0.998,0.972,230.377352772926
"663",0.6,250,1250,3,0.75,0.98,0.98,0.832,221.474309208074
"664",0.9,250,1250,3,0.75,0.52,0.528,0.654,235.081287539882
"665",0,500,1250,3,0.75,1,1,1,235.840246340514
"666",0.3,500,1250,3,0.75,1,1,0.994,230.635261791746
"667",0.6,500,1250,3,0.75,1,1,0.856,231.790631387704
"668",0.9,500,1250,3,0.75,0.776,0.816,0.64,241.756132662151
"669",0,1000,1250,3,0.75,1,1,1,222.695320367027
"670",0.3,1000,1250,3,0.75,1,1,0.98,224.803354440871
"671",0.6,1000,1250,3,0.75,1,1,0.85,212.850757168696
"672",0.9,1000,1250,3,0.75,0.99,0.992,0.7,209.765210300375
"673",0,125,5000,3,0.75,0.932,0.928,0.93,791.331647135778
"674",0.3,125,5000,3,0.75,0.894,0.888,0.858,760.251953419809
"675",0.6,125,5000,3,0.75,0.644,0.644,0.66,823.123218261612
"676",0.9,125,5000,3,0.75,0.504,0.504,0.546,797.798274340514
"677",0,250,5000,3,0.75,0.996,0.996,0.996,835.365975781088
"678",0.3,250,5000,3,0.75,0.988,0.988,0.94,839.057197598632
"679",0.6,250,5000,3,0.75,0.912,0.912,0.806,807.967705230116
"680",0.9,250,5000,3,0.75,0.508,0.508,0.584,896.299287073633
"681",0,500,5000,3,0.75,0.998,0.998,0.998,924.569816148333
"682",0.3,500,5000,3,0.75,1,1,0.97,907.483402467739
"683",0.6,500,5000,3,0.75,0.986,0.986,0.804,903.588693695406
"684",0.9,500,5000,3,0.75,0.532,0.532,0.608,990.889055943802
"685",0,1000,5000,3,0.75,1,1,1,955.428284321514
"686",0.3,1000,5000,3,0.75,1,1,0.964,950.32694750388
"687",0.6,1000,5000,3,0.75,1,1,0.836,913.316050740314
"688",0.9,1000,5000,3,0.75,0.756,0.766,0.69,1035.89667349569
"689",0,125,15000,3,0.75,0.894,0.894,0.896,2224.8015115004
"690",0.3,125,15000,3,0.75,0.832,0.832,0.764,2180.6071778482
"691",0.6,125,15000,3,0.75,0.58,0.576,0.62,2271.1160504824
"692",0.9,125,15000,3,0.75,0.486,0.486,0.504,2209.51207305699
"693",0,250,15000,3,0.75,0.992,0.992,0.992,2378.86818297458
"694",0.3,250,15000,3,0.75,0.984,0.982,0.914,2362.04340882618
"695",0.6,250,15000,3,0.75,0.796,0.798,0.752,2341.50375714356
"696",0.9,250,15000,3,0.75,0.532,0.532,0.576,2401.45619126877
"697",0,500,15000,3,0.75,1,1,0.998,2609.12353327716
"698",0.3,500,15000,3,0.75,0.998,0.998,0.966,2551.64453570151
"699",0.6,500,15000,3,0.75,0.972,0.972,0.784,2532.27918584926
"700",0.9,500,15000,3,0.75,0.49,0.49,0.61,2834.65176478486
"701",0,1000,15000,3,0.75,1,1,1,2725.3756547646
"702",0.3,1000,15000,3,0.75,1,1,0.968,2737.81152540131
"703",0.6,1000,15000,3,0.75,0.994,0.994,0.798,2824.46356666743
"704",0.9,1000,15000,3,0.75,0.61,0.616,0.674,2928.85599825936
"705",0,125,250,6,0.75,0.904,0.886,0.812,42.270972525156
"706",0.3,125,250,6,0.75,0.864,0.826,0.606,43.7670352342912
"707",0.6,125,250,6,0.75,0.69,0.656,0.376,45.8476518961576
"708",0.9,125,250,6,0.75,0.304,0.314,0.266,47.3429090373716
"709",0,250,250,6,0.75,0.996,0.992,0.992,38.2846486164312
"710",0.3,250,250,6,0.75,0.994,0.974,0.912,38.7677199029266
"711",0.6,250,250,6,0.75,0.976,0.936,0.604,37.5047968188198
"712",0.9,250,250,6,0.75,0.738,0.782,0.376,34.9290583334541
"713",0,500,250,6,0.75,1,1,1,23.2312122212301
"714",0.3,500,250,6,0.75,0.998,0.998,0.976,24.9153738471832
"715",0.6,500,250,6,0.75,0.996,0.994,0.92,23.1171431963562
"716",0.9,500,250,6,0.75,0.97,0.97,0.94,14.5097633055604
"717",0,1000,250,6,0.75,1,1,1,4.48329565268701
"718",0.3,1000,250,6,0.75,1,1,0.99,5.69947816401115
"719",0.6,1000,250,6,0.75,1,1,0.98,5.45842373596822
"720",0.9,1000,250,6,0.75,1,1,0.964,3.38842304004261
"721",0,125,1250,6,0.75,0.516,0.51,0.45,240.071953251612
"722",0.3,125,1250,6,0.75,0.418,0.42,0.322,238.986228200424
"723",0.6,125,1250,6,0.75,0.254,0.252,0.222,242.455985360922
"724",0.9,125,1250,6,0.75,0.152,0.15,0.156,245.393063250817
"725",0,250,1250,6,0.75,0.954,0.942,0.932,227.611175666623
"726",0.3,250,1250,6,0.75,0.892,0.886,0.694,230.427421650939
"727",0.6,250,1250,6,0.75,0.712,0.718,0.448,228.95254893636
"728",0.9,250,1250,6,0.75,0.272,0.272,0.322,244.263024008163
"729",0,500,1250,6,0.75,1,0.998,0.998,233.536179061025
"730",0.3,500,1250,6,0.75,1,0.996,0.844,242.324898376717
"731",0.6,500,1250,6,0.75,0.962,0.966,0.492,241.23619187483
"732",0.9,500,1250,6,0.75,0.416,0.46,0.362,242.970684313475
"733",0,1000,1250,6,0.75,1,0.998,1,223.752109796502
"734",0.3,1000,1250,6,0.75,1,0.994,0.85,223.837632745456
"735",0.6,1000,1250,6,0.75,0.992,0.98,0.53,224.601158687931
"736",0.9,1000,1250,6,0.75,0.872,0.856,0.34,219.445268873023
"737",0,125,5000,6,0.75,0.26,0.254,0.242,963.108865484479
"738",0.3,125,5000,6,0.75,0.198,0.202,0.124,966.186491385336
"739",0.6,125,5000,6,0.75,0.074,0.072,0.072,1016.15113643649
"740",0.9,125,5000,6,0.75,0.078,0.078,0.066,901.382591104302
"741",0,250,5000,6,0.75,0.86,0.858,0.848,889.742059759092
"742",0.3,250,5000,6,0.75,0.756,0.754,0.554,880.523462055913
"743",0.6,250,5000,6,0.75,0.45,0.444,0.314,947.327692905003
"744",0.9,250,5000,6,0.75,0.232,0.234,0.226,941.789865301476
"745",0,500,5000,6,0.75,0.976,0.976,0.976,892.947470345741
"746",0.3,500,5000,6,0.75,0.956,0.954,0.748,939.093097789389
"747",0.6,500,5000,6,0.75,0.814,0.816,0.452,932.96347288062
"748",0.9,500,5000,6,0.75,0.256,0.256,0.31,979.815969083895
"749",0,1000,5000,6,0.75,1,1,0.998,988.854976426388
"750",0.3,1000,5000,6,0.75,0.996,0.996,0.818,949.215077041144
"751",0.6,1000,5000,6,0.75,0.972,0.974,0.534,977.88286452862
"752",0.9,1000,5000,6,0.75,0.348,0.364,0.328,1062.07271435359
"753",0,125,15000,6,0.75,0.118,0.116,0.106,2862.85343200597
"754",0.3,125,15000,6,0.75,0.058,0.054,0.062,2887.81196262292
"755",0.6,125,15000,6,0.75,0.048,0.048,0.044,2866.47510682235
"756",0.9,125,15000,6,0.75,0.036,0.036,0.032,2560.67635016039
"757",0,250,15000,6,0.75,0.714,0.716,0.708,2491.95813446746
"758",0.3,250,15000,6,0.75,0.64,0.64,0.474,2535.34666478149
"759",0.6,250,15000,6,0.75,0.308,0.302,0.252,2712.64354520122
"760",0.9,250,15000,6,0.75,0.202,0.2,0.206,2562.7459021537
"761",0,500,15000,6,0.75,0.97,0.97,0.966,2608.56138593292
"762",0.3,500,15000,6,0.75,0.95,0.95,0.706,2574.89575219709
"763",0.6,500,15000,6,0.75,0.658,0.658,0.41,2676.34270028273
"764",0.9,500,15000,6,0.75,0.27,0.272,0.294,2806.19227495916
"765",0,1000,15000,6,0.75,1,1,1,2737.68432285727
"766",0.3,1000,15000,6,0.75,1,1,0.768,2709.02738627655
"767",0.6,1000,15000,6,0.75,0.906,0.906,0.474,2835.92786369222
"768",0.9,1000,15000,6,0.75,0.268,0.27,0.318,3057.8953761289
"769",0,125,250,9,0.75,0.538,0.462,0.3,45.9905521497991
