"","Rho","N","P","P0","Rsq","Sure.Screening.Probability..Air.HOLP.","Sure.Screening.Probability..Ridge.HOLP.","Sure.Screening.Probability..SIS.","r"
"75",0.6,500,250,6,0.25,0.584,0.514,0.086,35.4674506748957
"76",0.9,500,250,6,0.25,0.294,0.294,0.012,9.62586337354892
"77",0,1000,250,6,0.25,0.994,0.994,0.998,21.5562441703964
"78",0.3,1000,250,6,0.25,0.978,0.976,0.25,17.9475814594696
"79",0.6,1000,250,6,0.25,0.922,0.922,0.104,11.0877630494021
"80",0.9,1000,250,6,0.25,0.644,0.646,0.068,3.23199353881559
"81",0,125,1250,6,0.25,0.01,0.008,0.008,531.019212367096
"82",0.3,125,1250,6,0.25,0.002,0.002,0,391.047214877863
"83",0.6,125,1250,6,0.25,0.002,0,0,229.472412237622
"84",0.9,125,1250,6,0.25,0.002,0,0,58.3473333519709
"85",0,250,1250,6,0.25,0.196,0.144,0.204,608.580840988956
"86",0.3,250,1250,6,0.25,0.082,0.06,0.014,459.903787489915
"87",0.6,250,1250,6,0.25,0.054,0.042,0.004,267.934522325317
"88",0.9,250,1250,6,0.25,0.04,0.034,0.002,69.1824392383983
"89",0,500,1250,6,0.25,0.762,0.588,0.782,668.028461348525
"90",0.3,500,1250,6,0.25,0.552,0.368,0.132,506.793167102273
"91",0.6,500,1250,6,0.25,0.358,0.21,0.024,303.617390025375
"92",0.9,500,1250,6,0.25,0.162,0.124,0.002,80.9022303930867
"93",0,1000,1250,6,0.25,0.956,0.598,0.97,676.514762682498
"94",0.3,1000,1250,6,0.25,0.892,0.432,0.178,514.086954728453
"95",0.6,1000,1250,6,0.25,0.704,0.324,0.044,314.951176827234
"96",0.9,1000,1250,6,0.25,0.342,0.212,0.006,86.4132908676815
"97",0,125,5000,6,0.25,0,0,0,1763.07934449921
"98",0.3,125,5000,6,0.25,0,0,0,1314.34517486116
"99",0.6,125,5000,6,0.25,0,0,0,751.420918405361
