"","Rho","N","P","P0","Rsq","Sure.Screening.Probability..Air.HOLP.","Sure.Screening.Probability..Ridge.HOLP.","Sure.Screening.Probability..SIS.","r"
"392",0.9,250,250,6,0.5,0.314,0.312,0.01,11.0861897299104
"393",0,500,250,6,0.5,1,0.996,1,49.0579928074378
"394",0.3,500,250,6,0.5,0.992,0.988,0.278,40.3450140655803
"395",0.6,500,250,6,0.5,0.902,0.864,0.106,27.5441950161666
"396",0.9,500,250,6,0.5,0.558,0.552,0.01,8.4981321475409
"397",0,1000,250,6,0.5,1,1,1,11.3418336868531
"398",0.3,1000,250,6,0.5,1,1,0.26,10.6773373825889
"399",0.6,1000,250,6,0.5,1,1,0.102,7.34914801136329
"400",0.9,1000,250,6,0.5,0.862,0.864,0.078,2.6111479678536
"401",0,125,1250,6,0.5,0.168,0.152,0.18,419.120401627276
"402",0.3,125,1250,6,0.5,0.078,0.068,0.012,334.055945557364
"403",0.6,125,1250,6,0.5,0.078,0.066,0.008,204.562716850451
"404",0.9,125,1250,6,0.5,0.03,0.024,0,56.0177499471071
"405",0,250,1250,6,0.5,0.754,0.726,0.766,436.40830575824
"406",0.3,250,1250,6,0.5,0.648,0.58,0.084,356.815749352073
"407",0.6,250,1250,6,0.5,0.338,0.308,0.032,227.50021445844
"408",0.9,250,1250,6,0.5,0.182,0.17,0.01,63.6653125308035
"409",0,500,1250,6,0.5,0.984,0.974,0.988,459.156337316101
"410",0.3,500,1250,6,0.5,0.936,0.874,0.192,376.081603380155
"411",0.6,500,1250,6,0.5,0.748,0.646,0.042,244.744869145148
"412",0.9,500,1250,6,0.5,0.404,0.34,0.006,72.4770258651897
"413",0,1000,1250,6,0.5,1,0.968,0.998,447.309872235328
"414",0.3,1000,1250,6,0.5,1,0.926,0.202,366.399865398552
"415",0.6,1000,1250,6,0.5,0.936,0.758,0.072,242.83394494228
"416",0.9,1000,1250,6,0.5,0.596,0.466,0.012,76.0108370384632
"417",0,125,5000,6,0.5,0.03,0.028,0.028,1498.93176247282
"418",0.3,125,5000,6,0.5,0.026,0.026,0.002,1171.05210618623
"419",0.6,125,5000,6,0.5,0.008,0.008,0,703.368891102919
"420",0.9,125,5000,6,0.5,0.012,0.012,0,182.443145712342
"421",0,250,5000,6,0.5,0.554,0.534,0.542,1611.09281729665
"422",0.3,250,5000,6,0.5,0.372,0.352,0.052,1293.03842395503
"423",0.6,250,5000,6,0.5,0.24,0.226,0.022,795.946064156158
"424",0.9,250,5000,6,0.5,0.11,0.108,0.004,222.473029939563
"425",0,500,5000,6,0.5,0.924,0.916,0.912,1795.54866155636
"426",0.3,500,5000,6,0.5,0.81,0.8,0.102,1469.1979080381
"427",0.6,500,5000,6,0.5,0.65,0.618,0.04,916.549627325524
"428",0.9,500,5000,6,0.5,0.344,0.33,0.012,262.204688713783
"429",0,1000,5000,6,0.5,0.998,0.998,0.998,1962.15120748986
"430",0.3,1000,5000,6,0.5,0.972,0.968,0.18,1587.52924236464
"431",0.6,1000,5000,6,0.5,0.89,0.866,0.038,1037.79024106326
"432",0.9,1000,5000,6,0.5,0.536,0.506,0.006,305.871200314532
"433",0,125,15000,6,0.5,0.006,0.006,0.01,4056.32871761675
"434",0.3,125,15000,6,0.5,0.002,0.002,0,3123.16848949642
"435",0.6,125,15000,6,0.5,0,0,0,1824.18872058678
"436",0.9,125,15000,6,0.5,0.002,0.002,0,465.850537785415
"437",0,250,15000,6,0.5,0.346,0.348,0.366,4414.62965515803
"438",0.3,250,15000,6,0.5,0.204,0.206,0.024,3439.87762445507
"439",0.6,250,15000,6,0.5,0.138,0.142,0.004,2123.31664138527
"440",0.9,250,15000,6,0.5,0.074,0.074,0.002,569.899588165532
"441",0,500,15000,6,0.5,0.856,0.854,0.844,4918.09622828582
"442",0.3,500,15000,6,0.5,0.768,0.77,0.12,3899.41098554612
"443",0.6,500,15000,6,0.5,0.472,0.466,0.032,2515.25086963856
"444",0.9,500,15000,6,0.5,0.246,0.244,0.002,692.485592830945
"445",0,1000,15000,6,0.5,0.992,0.99,0.986,5544.54467877837
"446",0.3,1000,15000,6,0.5,0.954,0.952,0.15,4489.66612715844
"447",0.6,1000,15000,6,0.5,0.852,0.844,0.058,2833.74787241884
"448",0.9,1000,15000,6,0.5,0.438,0.428,0.006,828.182042693595
"449",0,125,250,9,0.5,0.078,0.034,0.06,87.2828152853525
"450",0.3,125,250,9,0.5,0.054,0.022,0.004,72.0093433523315
"451",0.6,125,250,9,0.5,0.01,0.008,0,43.9786831516048
"452",0.9,125,250,9,0.5,0.006,0.004,0,11.9177341713358
"453",0,250,250,9,0.5,0.74,0.34,0.65,74.7039882896607
"454",0.3,250,250,9,0.5,0.544,0.252,0.07,61.4710745521696
"455",0.6,250,250,9,0.5,0.416,0.256,0.016,39.2754520515746
"456",0.9,250,250,9,0.5,0.172,0.172,0.004,11.2452147448494
"457",0,500,250,9,0.5,0.986,0.968,0.97,50.2572078993415
"458",0.3,500,250,9,0.5,0.932,0.906,0.106,41.4858930134275
"459",0.6,500,250,9,0.5,0.752,0.704,0.048,27.8331451861747
"460",0.9,500,250,9,0.5,0.428,0.43,0.004,8.5529675529864
"461",0,1000,250,9,0.5,1,1,0.998,11.6234530578144
"462",0.3,1000,250,9,0.5,0.992,0.992,0.188,10.9475130314741
"463",0.6,1000,250,9,0.5,0.96,0.96,0.048,7.71050440936465
"464",0.9,1000,250,9,0.5,0.696,0.704,0.02,2.78650389003463
"465",0,125,1250,9,0.5,0,0.002,0.004,449.212362871105
"466",0.3,125,1250,9,0.5,0.002,0.002,0.002,353.679746788369
"467",0.6,125,1250,9,0.5,0,0.002,0,216.47194842359
"468",0.9,125,1250,9,0.5,0,0,0,55.6851209175437
"469",0,250,1250,9,0.5,0.28,0.232,0.228,456.847214163536
"470",0.3,250,1250,9,0.5,0.166,0.13,0.026,370.345104787934
"471",0.6,250,1250,9,0.5,0.084,0.076,0.002,236.62681098592
"472",0.9,250,1250,9,0.5,0.038,0.03,0,65.3481080489305
"473",0,500,1250,9,0.5,0.872,0.754,0.826,466.812705632094
"474",0.3,500,1250,9,0.5,0.692,0.56,0.078,386.480918601376
"475",0.6,500,1250,9,0.5,0.47,0.35,0.012,253.970686482389
"476",0.9,500,1250,9,0.5,0.242,0.198,0,73.9958079672181
"477",0,1000,1250,9,0.5,0.992,0.82,0.988,451.175620357005
"478",0.3,1000,1250,9,0.5,0.958,0.62,0.118,378.062231542233
"479",0.6,1000,1250,9,0.5,0.8,0.454,0.038,248.351768447217
"480",0.9,1000,1250,9,0.5,0.446,0.318,0,76.1846059299219
"481",0,125,5000,9,0.5,0,0,0,1605.37825012334
"482",0.3,125,5000,9,0.5,0,0,0,1234.63318116662
"483",0.6,125,5000,9,0.5,0,0,0,730.517827282726
"484",0.9,125,5000,9,0.5,0,0,0,185.117177506425
"485",0,250,5000,9,0.5,0.086,0.08,0.082,1710.29997281771
"486",0.3,250,5000,9,0.5,0.04,0.04,0.004,1360.37794942687
"487",0.6,250,5000,9,0.5,0.022,0.02,0.002,821.287954251571
"488",0.9,250,5000,9,0.5,0.008,0.008,0.002,227.120454994997
"489",0,500,5000,9,0.5,0.644,0.616,0.65,1835.39039004598
"490",0.3,500,5000,9,0.5,0.434,0.41,0.036,1512.83177208663
"491",0.6,500,5000,9,0.5,0.288,0.252,0.006,954.17441897663
"492",0.9,500,5000,9,0.5,0.122,0.104,0,269.033424974388
"493",0,1000,5000,9,0.5,0.956,0.938,0.95,1985.65093622967
"494",0.3,1000,5000,9,0.5,0.884,0.836,0.096,1633.27346129902
"495",0.6,1000,5000,9,0.5,0.638,0.578,0.02,1069.52122528559
"496",0.9,1000,5000,9,0.5,0.324,0.29,0.002,314.651622519707
"497",0,125,15000,9,0.5,0,0,0,4286.0832117946
"498",0.3,125,15000,9,0.5,0,0,0,3255.81147686761
"499",0.6,125,15000,9,0.5,0,0,0,1858.4737509336
"500",0.9,125,15000,9,0.5,0,0,0,471.75838147196
"501",0,250,15000,9,0.5,0.014,0.012,0.012,4680.26188116521
"502",0.3,250,15000,9,0.5,0.004,0.004,0,3710.00694339906
"503",0.6,250,15000,9,0.5,0.004,0.002,0,2212.92470478039
"504",0.9,250,15000,9,0.5,0.004,0.004,0,588.208235428292
"505",0,500,15000,9,0.5,0.46,0.46,0.464,5076.04746110448
"506",0.3,500,15000,9,0.5,0.296,0.29,0.03,4040.64394314086
"507",0.6,500,15000,9,0.5,0.192,0.19,0.012,2514.14397230291
"508",0.9,500,15000,9,0.5,0.064,0.058,0.002,703.20900168842
"509",0,1000,15000,9,0.5,0.898,0.9,0.896,5575.53757265329
"510",0.3,1000,15000,9,0.5,0.768,0.758,0.064,4522.46519291657
"511",0.6,1000,15000,9,0.5,0.556,0.54,0.022,2927.5639860414
"512",0.9,1000,15000,9,0.5,0.292,0.286,0.002,828.754124186294
"513",0,125,250,12,0.5,0.008,0.004,0.002,93.1928433225947
"514",0.3,125,250,12,0.5,0,0,0,74.2978957365017
"515",0.6,125,250,12,0.5,0.004,0.002,0,44.1000153822125
"516",0.9,125,250,12,0.5,0,0,0,11.9164712268148
"517",0,250,250,12,0.5,0.396,0.074,0.302,77.4841005142794
"518",0.3,250,250,12,0.5,0.224,0.058,0.028,64.3551678469902
"519",0.6,250,250,12,0.5,0.136,0.072,0.006,41.0620016866229
"520",0.9,250,250,12,0.5,0.056,0.058,0,11.5216765347557
"521",0,500,250,12,0.5,0.954,0.91,0.892,51.484323449862
"522",0.3,500,250,12,0.5,0.802,0.752,0.08,43.5537987479053
"523",0.6,500,250,12,0.5,0.53,0.466,0.022,29.4204037862245
"524",0.9,500,250,12,0.5,0.258,0.268,0.002,8.81357180446808
"525",0,1000,250,12,0.5,1,1,0.998,11.914273390743
"526",0.3,1000,250,12,0.5,0.986,0.986,0.114,11.3538310210262
"527",0.6,1000,250,12,0.5,0.914,0.914,0.024,8.19372225300571
"528",0.9,1000,250,12,0.5,0.558,0.57,0.004,2.82293251521887
"529",0,125,1250,12,0.5,0,0,0,469.596519035999
"530",0.3,125,1250,12,0.5,0,0,0,364.898100638394
"531",0.6,125,1250,12,0.5,0,0,0,217.916796644182
"532",0.9,125,1250,12,0.5,0,0,0,56.5673142313661
"533",0,250,1250,12,0.5,0.038,0.024,0.03,475.981802852947
"534",0.3,250,1250,12,0.5,0.016,0.014,0,388.873484534207
"535",0.6,250,1250,12,0.5,0.014,0.008,0,241.506958034674
"536",0.9,250,1250,12,0.5,0.002,0.002,0,64.913810151411
"537",0,500,1250,12,0.5,0.618,0.45,0.532,477.780543804378
"538",0.3,500,1250,12,0.5,0.402,0.26,0.034,395.72875726597
"539",0.6,500,1250,12,0.5,0.24,0.156,0.006,256.311584569788
"540",0.9,500,1250,12,0.5,0.092,0.07,0.002,75.5116113275323
"541",0,1000,1250,12,0.5,0.96,0.582,0.94,456.611881797372
"542",0.3,1000,1250,12,0.5,0.84,0.372,0.068,384.267371944971
"543",0.6,1000,1250,12,0.5,0.632,0.296,0.03,255.963942256593
"544",0.9,1000,1250,12,0.5,0.316,0.212,0.004,77.1895476048715
"545",0,125,5000,12,0.5,0,0,0,1666.86105960347
"546",0.3,125,5000,12,0.5,0,0,0,1276.79339648099
"547",0.6,125,5000,12,0.5,0,0,0,748.693051718998
"548",0.9,125,5000,12,0.5,0,0,0,187.347643904658
"549",0,250,5000,12,0.5,0.002,0,0,1805.05089202906
"550",0.3,250,5000,12,0.5,0.002,0.002,0,1416.1322169308
"551",0.6,250,5000,12,0.5,0,0,0,861.764099435331
"552",0.9,250,5000,12,0.5,0,0,0,229.11596702561
"553",0,500,5000,12,0.5,0.272,0.244,0.272,1877.38533673113
"554",0.3,500,5000,12,0.5,0.142,0.13,0.016,1528.14941286758
"555",0.6,500,5000,12,0.5,0.068,0.056,0,967.040688523909
"556",0.9,500,5000,12,0.5,0.04,0.036,0,271.440858965673
"557",0,1000,5000,12,0.5,0.824,0.79,0.802,1991.93489257925
"558",0.3,1000,5000,12,0.5,0.646,0.6,0.054,1660.46686983137
"559",0.6,1000,5000,12,0.5,0.446,0.4,0.014,1075.58657267791
"560",0.9,1000,5000,12,0.5,0.182,0.168,0,316.399240432848
"561",0,125,15000,12,0.5,0,0,0,4391.96569653505
"562",0.3,125,15000,12,0.5,0,0,0,3304.2912171877
"563",0.6,125,15000,12,0.5,0,0,0,1896.4870326708
"564",0.9,125,15000,12,0.5,0,0,0,479.403721686825
"565",0,250,15000,12,0.5,0,0,0,4972.70192335656
"566",0.3,250,15000,12,0.5,0,0,0,3790.78522804257
"567",0.6,250,15000,12,0.5,0,0,0,2253.47590851595
"568",0.9,250,15000,12,0.5,0,0,0,588.883324938306
"569",0,500,15000,12,0.5,0.094,0.09,0.094,5234.74854159974
"570",0.3,500,15000,12,0.5,0.056,0.048,0.004,4163.99439260455
"571",0.6,500,15000,12,0.5,0.024,0.024,0,2588.59646110991
"572",0.9,500,15000,12,0.5,0.014,0.014,0,716.534779944584
"573",0,1000,15000,12,0.5,0.704,0.68,0.68,5660.94145783688
"574",0.3,1000,15000,12,0.5,0.478,0.464,0.03,4592.65085732416
"575",0.6,1000,15000,12,0.5,0.344,0.314,0.014,2960.16710507993
"576",0.9,1000,15000,12,0.5,0.132,0.128,0.002,845.737908722127
"577",0,125,250,15,0.5,0,0,0,96.1982912239369
"578",0.3,125,250,15,0.5,0,0,0,77.6202428392487
"579",0.6,125,250,15,0.5,0,0,0,45.8438134927781
"580",0.9,125,250,15,0.5,0,0,0,12.2143260294755
"581",0,250,250,15,0.5,0.174,0.02,0.08,80.1454807479892
"582",0.3,250,250,15,0.5,0.066,0.006,0.006,66.5831367378217
"583",0.6,250,250,15,0.5,0.034,0.014,0,41.94076070597
"584",0.9,250,250,15,0.5,0.018,0.022,0,11.6677817823794
"585",0,500,250,15,0.5,0.874,0.786,0.754,53.1832221930513
"586",0.3,500,250,15,0.5,0.638,0.516,0.05,45.2273032113654
"587",0.6,500,250,15,0.5,0.388,0.33,0.018,29.8572602190871
"588",0.9,500,250,15,0.5,0.17,0.188,0.006,8.89453047659779
"589",0,1000,250,15,0.5,0.998,0.998,0.994,12.3693541939923
"590",0.3,1000,250,15,0.5,0.956,0.954,0.074,11.7205599641844
"591",0.6,1000,250,15,0.5,0.79,0.79,0.028,8.56423531813657
"592",0.9,1000,250,15,0.5,0.466,0.474,0.008,2.83929331699551
"593",0,125,1250,15,0.5,0,0,0,495.000519975145
"594",0.3,125,1250,15,0.5,0,0,0,379.665126378011
"595",0.6,125,1250,15,0.5,0,0,0,223.323537156691
"596",0.9,125,1250,15,0.5,0,0,0,57.5302708079302
"597",0,250,1250,15,0.5,0.004,0.002,0,493.316746117608
"598",0.3,250,1250,15,0.5,0,0,0,402.833647031656
"599",0.6,250,1250,15,0.5,0,0,0,247.60409456453
"600",0.9,250,1250,15,0.5,0,0,0,65.6876402119058
"601",0,500,1250,15,0.5,0.292,0.164,0.266,485.363805753769
"602",0.3,500,1250,15,0.5,0.148,0.078,0.012,406.408891610453
"603",0.6,500,1250,15,0.5,0.094,0.048,0.002,263.178225102074
"604",0.9,500,1250,15,0.5,0.05,0.034,0.002,76.2348984991123
"605",0,1000,1250,15,0.5,0.886,0.322,0.834,459.264872536103
"606",0.3,1000,1250,15,0.5,0.632,0.146,0.044,394.753715451321
"607",0.6,1000,1250,15,0.5,0.494,0.172,0.008,256.091081184537
"608",0.9,1000,1250,15,0.5,0.178,0.104,0,79.5246655347713
"609",0,125,5000,15,0.5,0,0,0,1703.30471955812
"610",0.3,125,5000,15,0.5,0,0,0,1279.89039845199
"611",0.6,125,5000,15,0.5,0,0,0,741.682084014201
"612",0.9,125,5000,15,0.5,0,0,0,190.406194418386
"613",0,250,5000,15,0.5,0,0,0,1864.38742845692
"614",0.3,250,5000,15,0.5,0,0,0,1469.81063255747
"615",0.6,250,5000,15,0.5,0,0,0,885.688882433661
"616",0.9,250,5000,15,0.5,0,0,0,230.094124065329
"617",0,500,5000,15,0.5,0.066,0.04,0.05,1936.56861019972
"618",0.3,500,5000,15,0.5,0.024,0.014,0,1580.30454469768
"619",0.6,500,5000,15,0.5,0.012,0.01,0,994.719732573162
"620",0.9,500,5000,15,0.5,0.006,0.004,0,278.766741066513
"621",0,1000,5000,15,0.5,0.616,0.556,0.58,2014.12630428107
"622",0.3,1000,5000,15,0.5,0.396,0.33,0.008,1679.37291135755
"623",0.6,1000,5000,15,0.5,0.252,0.2,0.004,1095.24704640572
"624",0.9,1000,5000,15,0.5,0.114,0.094,0,316.54553052977
"625",0,125,15000,15,0.5,0,0,0,4422.50498024122
"626",0.3,125,15000,15,0.5,0,0,0,3321.02535221119
"627",0.6,125,15000,15,0.5,0,0,0,1903.07479506736
"628",0.9,125,15000,15,0.5,0,0,0,481.483158938491
"629",0,250,15000,15,0.5,0,0,0,5192.59886258831
"630",0.3,250,15000,15,0.5,0,0,0,3894.08345899813
"631",0.6,250,15000,15,0.5,0,0,0,2322.83383885782
"632",0.9,250,15000,15,0.5,0,0,0,598.663740504899
"633",0,500,15000,15,0.5,0.006,0.006,0.01,5450.3540572076
"634",0.3,500,15000,15,0.5,0.002,0.002,0,4364.94223383808
"635",0.6,500,15000,15,0.5,0.002,0.002,0,2682.85368357199
"636",0.9,500,15000,15,0.5,0,0,0,722.959540596085
"637",0,1000,15000,15,0.5,0.348,0.33,0.322,5734.89451011817
"638",0.3,1000,15000,15,0.5,0.22,0.214,0.014,4754.10086086297
"639",0.6,1000,15000,15,0.5,0.138,0.134,0.006,3041.03410103848
"640",0.9,1000,15000,15,0.5,0.054,0.05,0,853.253718550364
"641",0,125,250,3,0.75,0.998,0.994,0.99,43.7681113513645
"642",0.3,125,250,3,0.75,0.998,0.992,0.546,39.0460065869172
"643",0.6,125,250,3,0.75,0.974,0.958,0.226,27.4012877824036
"644",0.9,125,250,3,0.75,0.704,0.704,0.028,9.54789867872628
"645",0,250,250,3,0.75,1,1,1,38.7898947984598
"646",0.3,250,250,3,0.75,1,1,0.64,34.1697935531229
"647",0.6,250,250,3,0.75,0.998,0.992,0.344,24.5578803054242
"648",0.9,250,250,3,0.75,0.898,0.89,0.08,9.00476868374361
"649",0,500,250,3,0.75,1,1,1,24.221482071335
"650",0.3,500,250,3,0.75,1,1,0.648,21.3632537453478
"651",0.6,500,250,3,0.75,1,1,0.346,16.4852292721169
"652",0.9,500,250,3,0.75,0.978,0.98,0.284,6.62254557486619
"653",0,1000,250,3,0.75,1,1,1,4.71533125695349
"654",0.3,1000,250,3,0.75,1,1,0.67,4.6661537342626
"655",0.6,1000,250,3,0.75,1,1,0.374,3.74194006751561
"656",0.9,1000,250,3,0.75,1,1,0.274,1.79707945980669
"657",0,125,1250,3,0.75,0.98,0.98,0.974,217.740602442496
"658",0.3,125,1250,3,0.75,0.98,0.974,0.46,191.499475506886
"659",0.6,125,1250,3,0.75,0.922,0.912,0.082,135.619219928916
"660",0.9,125,1250,3,0.75,0.656,0.644,0.006,44.9314878658985
"661",0,250,1250,3,0.75,1,1,1,231.910955689091
"662",0.3,250,1250,3,0.75,1,1,0.55,206.01121980219
"663",0.6,250,1250,3,0.75,0.994,0.994,0.25,147.952467700157
"664",0.9,250,1250,3,0.75,0.786,0.776,0.022,52.0369678071802
"665",0,500,1250,3,0.75,1,1,1,243.830255367277
"666",0.3,500,1250,3,0.75,1,1,0.632,214.180011450495
"667",0.6,500,1250,3,0.75,1,0.998,0.358,157.271434940278
"668",0.9,500,1250,3,0.75,0.93,0.912,0.12,58.2770511950098
"669",0,1000,1250,3,0.75,1,1,1,236.477347759695
"670",0.3,1000,1250,3,0.75,1,1,0.628,208.684816027821
"671",0.6,1000,1250,3,0.75,1,1,0.378,154.707419010062
"672",0.9,1000,1250,3,0.75,0.996,0.976,0.228,57.3253471318104
"673",0,125,5000,3,0.75,0.96,0.954,0.962,810.058792079835
"674",0.3,125,5000,3,0.75,0.904,0.892,0.368,718.657282929356
"675",0.6,125,5000,3,0.75,0.802,0.8,0.034,491.868219987874
"676",0.9,125,5000,3,0.75,0.452,0.446,0,159.621475870621
"677",0,250,5000,3,0.75,0.996,0.996,0.996,881.112840333795
"678",0.3,250,5000,3,0.75,0.994,0.996,0.506,773.388351063601
"679",0.6,250,5000,3,0.75,0.958,0.96,0.196,555.794294065275
"680",0.9,250,5000,3,0.75,0.732,0.73,0.002,185.964307090056
"681",0,500,5000,3,0.75,1,1,1,967.696513243582
"682",0.3,500,5000,3,0.75,1,1,0.564,843.954127076889
"683",0.6,500,5000,3,0.75,1,0.998,0.314,607.134926501361
"684",0.9,500,5000,3,0.75,0.9,0.896,0.02,215.323632660967
"685",0,1000,5000,3,0.75,1,1,1,1026.09033651348
"686",0.3,1000,5000,3,0.75,1,1,0.68,917.260729893626
"687",0.6,1000,5000,3,0.75,1,1,0.398,664.446015509561
"688",0.9,1000,5000,3,0.75,0.974,0.968,0.152,248.10686749318
"689",0,125,15000,3,0.75,0.904,0.902,0.898,2279.52076710131
"690",0.3,125,15000,3,0.75,0.848,0.842,0.214,1978.88827093197
"691",0.6,125,15000,3,0.75,0.726,0.726,0.022,1383.21529517689
"692",0.9,125,15000,3,0.75,0.412,0.406,0.002,416.977362992685
"693",0,250,15000,3,0.75,0.994,0.994,0.994,2470.57390963816
"694",0.3,250,15000,3,0.75,0.99,0.99,0.492,2102.04938459249
"695",0.6,250,15000,3,0.75,0.95,0.95,0.148,1479.14472586024
"696",0.9,250,15000,3,0.75,0.656,0.654,0.006,497.769375684626
"697",0,500,15000,3,0.75,1,1,1,2750.83584070912
"698",0.3,500,15000,3,0.75,1,1,0.572,2389.4356406075
"699",0.6,500,15000,3,0.75,0.998,0.998,0.29,1687.947264045
"700",0.9,500,15000,3,0.75,0.858,0.844,0.018,565.302665670192
"701",0,1000,15000,3,0.75,1,1,1,2960.66400813769
"702",0.3,1000,15000,3,0.75,1,1,0.62,2623.35530526696
"703",0.6,1000,15000,3,0.75,1,1,0.368,1956.60303955021
"704",0.9,1000,15000,3,0.75,0.958,0.954,0.082,685.7571442202
"705",0,125,250,6,0.75,0.886,0.852,0.772,45.6627712995002
"706",0.3,125,250,6,0.75,0.83,0.774,0.124,39.8178660819765
"707",0.6,125,250,6,0.75,0.68,0.616,0.032,28.9512992133838
"708",0.9,125,250,6,0.75,0.312,0.312,0.004,9.83451215937079
"709",0,250,250,6,0.75,1,0.996,0.992,40.1614145628602
"710",0.3,250,250,6,0.75,0.996,0.966,0.234,35.6494092348991
"711",0.6,250,250,6,0.75,0.944,0.864,0.072,26.3874133677164
"712",0.9,250,250,6,0.75,0.586,0.592,0.014,9.04453445954674
"713",0,500,250,6,0.75,1,1,1,24.8810112252836
"714",0.3,500,250,6,0.75,1,1,0.286,22.3630941397704
"715",0.6,500,250,6,0.75,0.988,0.984,0.114,17.6019583531013
"716",0.9,500,250,6,0.75,0.83,0.832,0.012,6.70507868759609
"717",0,1000,250,6,0.75,1,1,1,4.70524663208679
"718",0.3,1000,250,6,0.75,1,1,0.258,4.9679988338822
"719",0.6,1000,250,6,0.75,1,1,0.1,3.83223740510761
"720",0.9,1000,250,6,0.75,0.974,0.974,0.084,1.83113933303748
"721",0,125,1250,6,0.75,0.542,0.552,0.478,244.614942980045
"722",0.3,125,1250,6,0.75,0.43,0.418,0.044,219.547689118904
"723",0.6,125,1250,6,0.75,0.288,0.272,0.018,150.511808499523
"724",0.9,125,1250,6,0.75,0.164,0.156,0,48.3202344807879
"725",0,250,1250,6,0.75,0.964,0.96,0.932,237.584146779563
"726",0.3,250,1250,6,0.75,0.922,0.916,0.136,216.33343898398
"727",0.6,250,1250,6,0.75,0.752,0.726,0.048,158.510736295467
"728",0.9,250,1250,6,0.75,0.426,0.402,0.016,52.7202972888048
"729",0,500,1250,6,0.75,1,1,1,246.959369671909
"730",0.3,500,1250,6,0.75,1,0.998,0.218,220.27631710165
"731",0.6,500,1250,6,0.75,0.978,0.944,0.052,162.78428568962
"732",0.9,500,1250,6,0.75,0.678,0.628,0.01,58.3780204347856
"733",0,1000,1250,6,0.75,1,1,1,237.975307998386
"734",0.3,1000,1250,6,0.75,1,1,0.212,211.376757546158
"735",0.6,1000,1250,6,0.75,0.996,0.954,0.08,155.391637319477
"736",0.9,1000,1250,6,0.75,0.856,0.75,0.008,60.0839445053088
"737",0,125,5000,6,0.75,0.262,0.26,0.244,995.691322413306
"738",0.3,125,5000,6,0.75,0.168,0.166,0.024,853.032668896794
"739",0.6,125,5000,6,0.75,0.11,0.116,0.004,558.861805128103
"740",0.9,125,5000,6,0.75,0.078,0.078,0,164.475706475792
"741",0,250,5000,6,0.75,0.864,0.856,0.856,910.765996910383
"742",0.3,250,5000,6,0.75,0.778,0.778,0.098,823.709561219433
"743",0.6,250,5000,6,0.75,0.6,0.594,0.032,567.840626714383
"744",0.9,250,5000,6,0.75,0.308,0.298,0.004,189.119660157819
"745",0,500,5000,6,0.75,0.998,0.994,0.996,969.200063360017
"746",0.3,500,5000,6,0.75,0.966,0.96,0.142,886.456968868306
"747",0.6,500,5000,6,0.75,0.902,0.896,0.052,624.52684519228
"748",0.9,500,5000,6,0.75,0.584,0.572,0.01,214.716195744642
"749",0,1000,5000,6,0.75,1,1,1,1029.13728610269
"750",0.3,1000,5000,6,0.75,0.998,0.998,0.204,918.080648597001
"751",0.6,1000,5000,6,0.75,0.992,0.982,0.06,682.907355093226
"752",0.9,1000,5000,6,0.75,0.786,0.758,0.006,244.038546083917
"753",0,125,15000,6,0.75,0.098,0.102,0.11,2954.96038747459
"754",0.3,125,15000,6,0.75,0.074,0.074,0.01,2435.28900914253
"755",0.6,125,15000,6,0.75,0.042,0.042,0.004,1571.01778337552
"756",0.9,125,15000,6,0.75,0.022,0.02,0,429.998103011632
"757",0,250,15000,6,0.75,0.706,0.702,0.694,2643.71759858195
"758",0.3,250,15000,6,0.75,0.582,0.572,0.07,2288.76550539336
"759",0.6,250,15000,6,0.75,0.43,0.422,0.02,1577.79308678606
"760",0.9,250,15000,6,0.75,0.236,0.238,0.006,488.728840878857
"761",0,500,15000,6,0.75,0.964,0.962,0.964,2775.4500468484
"762",0.3,500,15000,6,0.75,0.956,0.954,0.164,2388.48056483923
"763",0.6,500,15000,6,0.75,0.818,0.81,0.048,1812.40782966993
"764",0.9,500,15000,6,0.75,0.492,0.486,0.002,578.67176826551
"765",0,1000,15000,6,0.75,1,1,0.998,2985.39743094047
"766",0.3,1000,15000,6,0.75,0.994,0.994,0.178,2695.06861101235
"767",0.6,1000,15000,6,0.75,0.982,0.986,0.072,1886.43462413778
"768",0.9,1000,15000,6,0.75,0.746,0.736,0.01,675.677033030418
"769",0,125,250,9,0.75,0.496,0.412,0.316,49.24429346427
"770",0.3,125,250,9,0.75,0.36,0.304,0.022,45.6282214333117
"771",0.6,125,250,9,0.75,0.23,0.192,0.008,31.9726998687178
"772",0.9,125,250,9,0.75,0.102,0.102,0,10.3361140733238
"773",0,250,250,9,0.75,0.986,0.932,0.882,41.4697694967618
"774",0.3,250,250,9,0.75,0.928,0.836,0.1,37.1290195738028
"775",0.6,250,250,9,0.75,0.778,0.686,0.022,26.8664420680314
"776",0.9,250,250,9,0.75,0.408,0.41,0.008,9.2331422551434
"777",0,500,250,9,0.75,1,1,0.994,25.5403949496926
"778",0.3,500,250,9,0.75,1,1,0.13,23.0205069060569
"779",0.6,500,250,9,0.75,0.958,0.94,0.046,17.6270969015368
"780",0.9,500,250,9,0.75,0.706,0.714,0.004,6.69480939040894
"781",0,1000,250,9,0.75,1,1,1,4.91301459489047
"782",0.3,1000,250,9,0.75,1,1,0.18,5.05418048191517
"783",0.6,1000,250,9,0.75,1,1,0.05,4.14256703272906
"784",0.9,1000,250,9,0.75,0.898,0.908,0.016,2.01093034059292
